"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"consultant / consultante en systèmes d'information";https://www.onisep.fr/http/redirection/metier/slug/MET.212;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1806;"Conseil et maîtrise d'ouvrage en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1806;"informatique, Internet/informatique (généralités)"
orthoptiste;https://www.onisep.fr/http/redirection/metier/slug/MET.877;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1407;Orthoptique;https://candidat.francetravail.fr/metierscope/fiche-metier/J1407;"santé, social, sport/paramédical"
"secrétaire administratif / administrative";https://www.onisep.fr/http/redirection/metier/slug/MET.891;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1607;Secrétariat;https://candidat.francetravail.fr/metierscope/fiche-metier/M1607;"gestion des entreprises, comptabilité/secrétariat"
"responsable assurance qualité";https://www.onisep.fr/http/redirection/metier/slug/MET.202;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/maintenance, qualité"
"ingénieur / ingénieure en métrologie";https://www.onisep.fr/http/redirection/metier/slug/MET.460;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"mécanique/automatismes| électricité, électronique, robotique/électronique| sciences/physique"
"ingénieur / ingénieure de maintenance industrielle";https://www.onisep.fr/http/redirection/metier/slug/MET.491;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";I1102;"Management et ingénierie de maintenance industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/I1102;"mécanique/automatismes| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"chef / cheffe d'exploitation des remontées mécaniques";https://www.onisep.fr/http/redirection/metier/slug/MET.934;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";I1101;"Direction et ingénierie en entretien infrastructure et bâti";https://candidat.francetravail.fr/metierscope/fiche-metier/I1101;"électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| mécanique/mécanique (généralités)"
"assistant commercial / assistante commerciale";https://www.onisep.fr/http/redirection/metier/slug/MET.28;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";D1401;"Assistanat commercial";https://candidat.francetravail.fr/metierscope/fiche-metier/D1401;"gestion des entreprises, comptabilité/secrétariat"
"chef / cheffe de mission humanitaire";https://www.onisep.fr/http/redirection/metier/slug/MET.219;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";N1301;"Conception et organisation de la chaîne logistique";https://candidat.francetravail.fr/metierscope/fiche-metier/N1301;"santé, social, sport/travail social"
mannequin;https://www.onisep.fr/http/redirection/metier/slug/MET.504;;"pas de publication Onisep spécifique";;;"GFE S : hôtellerie,  tourisme, loisirs";L1102;"Mannequinat et pose artistique";https://candidat.francetravail.fr/metierscope/fiche-metier/L1102;"arts, culture, artisanat/arts graphiques| santé, social, sport/esthétique"
